subject,list,item,input,output,study,recall,repeat,intrusion,first_input,list length
1,1,11,12,,True,False,0,False,12,30.0
1,1,12,13,,True,False,0,False,13,30.0
1,1,13,14,7.0,True,True,0,False,14,30.0
1,1,14,15,,True,False,0,False,15,30.0
1,1,15,16,4.0,True,True,0,False,16,30.0
1,1,16,17,,True,False,0,False,17,30.0
1,1,17,18,5.0,True,True,0,False,18,30.0
1,1,18,19,6.0,True,True,0,False,19,30.0
1,1,19,20,,True,False,0,False,20,30.0
1,1,20,21,,True,False,0,False,21,30.0
1,1,21,22,,True,False,0,False,22,30.0
1,1,22,23,8.0,True,True,0,False,23,30.0
1,1,23,24,9.0,True,True,0,False,24,30.0
1,1,24,25,,True,False,0,False,25,30.0
1,1,25,26,,True,False,0,False,26,30.0
1,1,26,27,,True,False,0,False,27,30.0
1,1,27,28,2.0,True,True,0,False,28,30.0
1,1,28,29,3.0,True,True,0,False,29,30.0
1,1,29,30,1.0,True,True,0,False,30,30.0
1,2,0,1,,True,False,0,False,1,30.0
1,2,1,2,,True,False,0,False,2,30.0
1,2,2,3,,True,False,0,False,3,30.0
1,2,3,4,,True,False,0,False,4,30.0
1,2,4,5,,True,False,0,False,5,30.0
1,2,5,6,,True,False,0,False,6,30.0
1,2,6,7,,True,False,0,False,7,30.0
1,2,7,8,,True,False,0,False,8,30.0
1,2,8,9,,True,False,0,False,9,30.0
1,2,9,10,,True,False,0,False,10,30.0
1,2,10,11,,True,False,0,False,11,30.0
1,2,11,12,,True,False,0,False,12,30.0
1,2,12,13,6.0,True,True,0,False,13,30.0
1,2,13,14,7.0,True,True,0,False,14,30.0
1,2,14,15,,True,False,0,False,15,30.0
1,2,15,16,,True,False,0,False,16,30.0
1,2,16,17,,True,False,0,False,17,30.0
1,2,17,18,,True,False,0,False,18,30.0
1,2,18,19,,True,False,0,False,19,30.0
1,2,19,20,,True,False,0,False,20,30.0
1,2,20,21,,True,False,0,False,21,30.0
1,2,21,22,2.0,True,True,0,False,22,30.0
1,2,22,23,5.0,True,True,0,False,23,30.0
1,2,23,24,,True,False,0,False,24,30.0
1,2,24,25,4.0,True,True,0,False,25,30.0
1,2,25,26,,True,False,0,False,26,30.0
1,2,26,27,8.0,True,True,0,False,27,30.0
1,2,27,28,3.0,True,True,0,False,28,30.0
1,2,28,29,1.0,True,True,0,False,29,30.0
1,2,29,30,9.0,True,True,0,False,30,30.0
1,3,0,1,,True,False,0,False,1,30.0
1,3,1,2,,True,False,0,False,2,30.0
1,3,2,3,,True,False,0,False,3,30.0
1,3,3,4,,True,False,0,False,4,30.0
1,3,4,5,,True,False,0,False,5,30.0
1,3,5,6,,True,False,0,False,6,30.0
1,3,6,7,,True,False,0,False,7,30.0
1,3,7,8,,True,False,0,False,8,30.0
1,3,8,9,4.0,True,True,0,False,9,30.0
1,3,9,10,5.0,True,True,0,False,10,30.0
1,3,10,11,,True,False,0,False,11,30.0
1,3,11,12,7.0,True,True,0,False,12,30.0
1,3,12,13,,True,False,0,False,13,30.0
1,3,13,14,8.0,True,True,0,False,14,30.0
1,3,14,15,6.0,True,True,0,False,15,30.0
1,3,15,16,,True,False,0,False,16,30.0
1,3,16,17,,True,False,0,False,17,30.0
1,3,17,18,,True,False,0,False,18,30.0
1,3,18,19,,True,False,0,False,19,30.0
1,3,19,20,,True,False,0,False,20,30.0
1,3,20,21,,True,False,0,False,21,30.0
1,3,21,22,,True,False,0,False,22,30.0
1,3,22,23,,True,False,0,False,23,30.0
1,3,23,24,,True,False,0,False,24,30.0
1,3,24,25,,True,False,0,False,25,30.0
1,3,25,26,,True,False,0,False,26,30.0
1,3,26,27,,True,False,0,False,27,30.0
1,3,27,28,3.0,True,True,0,False,28,30.0
1,3,28,29,2.0,True,True,0,False,29,30.0
1,3,29,30,1.0,True,True,0,False,30,30.0
1,4,0,1,,True,False,0,False,1,30.0
1,4,1,2,,True,False,0,False,2,30.0
1,4,2,3,,True,False,0,False,3,30.0
1,4,3,4,,True,False,0,False,4,30.0
1,4,4,5,,True,False,0,False,5,30.0
1,4,5,6,,True,False,0,False,6,30.0
1,4,6,7,,True,False,0,False,7,30.0
1,4,7,8,,True,False,0,False,8,30.0
1,4,8,9,,True,False,0,False,9,30.0
1,4,9,10,,True,False,0,False,10,30.0
1,4,10,11,,True,False,0,False,11,30.0
1,4,11,12,,True,False,0,False,12,30.0
1,4,12,13,,True,False,0,False,13,30.0
1,4,13,14,,True,False,0,False,14,30.0
1,4,14,15,,True,False,0,False,15,30.0
1,4,15,16,6.0,True,True,0,False,16,30.0
1,4,16,17,,True,False,0,False,17,30.0
1,4,17,18,7.0,True,True,0,False,18,30.0
1,4,18,19,8.0,True,True,0,False,19,30.0
1,4,19,20,9.0,True,True,0,False,20,30.0
1,4,20,21,,True,False,0,False,21,30.0
1,4,21,22,,True,False,0,False,22,30.0
1,4,22,23,,True,False,0,False,23,30.0
1,4,23,24,4.0,True,True,0,False,24,30.0
1,4,24,25,,True,False,0,False,25,30.0
1,4,25,26,5.0,True,True,0,False,26,30.0
1,4,26,27,3.0,True,True,0,False,27,30.0
1,4,27,28,,True,False,0,False,28,30.0
1,4,28,29,1.0,True,True,0,False,29,30.0
1,4,29,30,2.0,True,True,0,False,30,30.0
1,5,0,1,,True,False,0,False,1,30.0
1,5,1,2,,True,False,0,False,2,30.0
1,5,2,3,,True,False,0,False,3,30.0
1,5,3,4,,True,False,0,False,4,30.0
1,5,4,5,,True,False,0,False,5,30.0
1,5,5,6,,True,False,0,False,6,30.0
1,5,6,7,,True,False,0,False,7,30.0
1,5,7,8,,True,False,0,False,8,30.0
1,5,8,9,,True,False,0,False,9,30.0
1,5,9,10,,True,False,0,False,10,30.0
1,5,10,11,,True,False,0,False,11,30.0
1,5,11,12,,True,False,0,False,12,30.0
1,5,12,13,,True,False,0,False,13,30.0
1,5,13,14,,True,False,0,False,14,30.0
1,5,14,15,,True,False,0,False,15,30.0
1,5,15,16,,True,False,0,False,16,30.0
1,5,16,17,,True,False,0,False,17,30.0
1,5,17,18,8.0,True,True,0,False,18,30.0
1,5,18,19,5.0,True,True,0,False,19,30.0
1,5,19,20,6.0,True,True,0,False,20,30.0
1,5,20,21,10.0,True,True,0,False,21,30.0
1,5,21,22,9.0,True,True,0,False,22,30.0
1,5,22,23,7.0,True,True,0,False,23,30.0
1,5,23,24,,True,False,0,False,24,30.0
1,5,24,25,4.0,True,True,0,False,25,30.0
1,5,25,26,,True,False,0,False,26,30.0
1,5,26,27,2.0,True,True,0,False,27,30.0
1,5,27,28,3.0,True,True,0,False,28,30.0
1,5,28,29,,True,False,0,False,29,30.0
1,5,29,30,1.0,True,True,0,False,30,30.0
1,6,0,1,5.0,True,True,0,False,1,30.0
1,6,1,2,,True,False,0,False,2,30.0
1,6,2,3,6.0,True,True,0,False,3,30.0
1,6,3,4,7.0,True,True,0,False,4,30.0
1,6,4,5,8.0,True,True,0,False,5,30.0
1,6,5,6,,True,False,0,False,6,30.0
1,6,6,7,,True,False,0,False,7,30.0
1,6,7,8,,True,False,0,False,8,30.0
1,6,8,9,,True,False,0,False,9,30.0
1,6,9,10,,True,False,0,False,10,30.0
1,6,10,11,,True,False,0,False,11,30.0
1,6,11,12,,True,False,0,False,12,30.0
1,6,12,13,,True,False,0,False,13,30.0
1,6,13,14,,True,False,0,False,14,30.0
1,6,14,15,,True,False,0,False,15,30.0
1,6,15,16,,True,False,0,False,16,30.0
1,6,16,17,,True,False,0,False,17,30.0
1,6,17,18,,True,False,0,False,18,30.0
1,6,18,19,,True,False,0,False,19,30.0
1,6,19,20,,True,False,0,False,20,30.0
1,6,20,21,,True,False,0,False,21,30.0
1,6,21,22,,True,False,0,False,22,30.0
1,6,22,23,,True,False,0,False,23,30.0
1,6,23,24,,True,False,0,False,24,30.0
1,6,24,25,,True,False,0,False,25,30.0
1,6,25,26,,True,False,0,False,26,30.0
1,6,26,27,1.0,True,True,0,False,27,30.0
1,6,27,28,4.0,True,True,0,False,28,30.0
1,6,28,29,3.0,True,True,0,False,29,30.0
1,6,29,30,2.0,True,True,0,False,30,30.0
1,7,0,1,,True,False,0,False,1,30.0
1,7,1,2,,True,False,0,False,2,30.0
1,7,2,3,,True,False,0,False,3,30.0
1,7,3,4,,True,False,0,False,4,30.0
1,7,4,5,,True,False,0,False,5,30.0
1,7,5,6,,True,False,0,False,6,30.0
1,7,6,7,,True,False,0,False,7,30.0
1,7,7,8,5.0,True,True,0,False,8,30.0
1,7,8,9,,True,False,0,False,9,30.0
1,7,9,10,,True,False,0,False,10,30.0
1,7,10,11,,True,False,0,False,11,30.0
1,7,11,12,,True,False,0,False,12,30.0
1,7,12,13,,True,False,0,False,13,30.0
1,7,13,14,,True,False,0,False,14,30.0
1,7,14,15,,True,False,0,False,15,30.0
1,7,15,16,,True,False,0,False,16,30.0
1,7,16,17,,True,False,0,False,17,30.0
1,7,17,18,,True,False,0,False,18,30.0
1,7,18,19,,True,False,0,False,19,30.0
1,7,19,20,,True,False,0,False,20,30.0
1,7,20,21,7.0,True,True,0,False,21,30.0
1,7,21,22,,True,False,0,False,22,30.0
1,7,22,23,,True,False,0,False,23,30.0
1,7,23,24,,True,False,0,False,24,30.0
1,7,24,25,,True,False,0,False,25,30.0
1,7,25,26,6.0,True,True,0,False,26,30.0
1,7,26,27,1.0,True,True,0,False,27,30.0
1,7,27,28,4.0,True,True,0,False,28,30.0
1,7,28,29,2.0,True,True,0,False,29,30.0
1,7,29,30,3.0,True,True,0,False,30,30.0
1,8,0,1,,True,False,0,False,1,30.0
1,8,1,2,,True,False,0,False,2,30.0
1,8,2,3,,True,False,0,False,3,30.0
1,8,3,4,,True,False,0,False,4,30.0
1,8,4,5,,True,False,0,False,5,30.0
1,8,5,6,,True,False,0,False,6,30.0
1,8,6,7,5.0,True,True,0,False,7,30.0
1,8,7,8,,True,False,0,False,8,30.0
1,8,8,9,,True,False,0,False,9,30.0
1,8,9,10,,True,False,0,False,10,30.0
1,8,10,11,,True,False,0,False,11,30.0
1,8,11,12,,True,False,0,False,12,30.0
1,8,12,13,,True,False,0,False,13,30.0
1,8,13,14,,True,False,0,False,14,30.0
1,8,14,15,,True,False,0,False,15,30.0
1,8,15,16,,True,False,0,False,16,30.0
1,8,16,17,,True,False,0,False,17,30.0
1,8,17,18,,True,False,0,False,18,30.0
1,8,18,19,,True,False,0,False,19,30.0
1,8,19,20,,True,False,0,False,20,30.0
1,8,20,21,,True,False,0,False,21,30.0
1,8,21,22,,True,False,0,False,22,30.0
1,8,22,23,,True,False,0,False,23,30.0
1,8,23,24,4.0,True,True,0,False,24,30.0
1,8,24,25,6.0,True,True,0,False,25,30.0
1,8,25,26,,True,False,0,False,26,30.0
1,8,26,27,3.0,True,True,0,False,27,30.0
1,8,27,28,,True,False,0,False,28,30.0
1,8,28,29,2.0,True,True,0,False,29,30.0
1,8,29,30,1.0,True,True,0,False,30,30.0
1,9,0,1,,True,False,0,False,1,30.0
1,9,1,2,,True,False,0,False,2,30.0
1,9,2,3,,True,False,0,False,3,30.0
1,9,3,4,,True,False,0,False,4,30.0
1,9,4,5,,True,False,0,False,5,30.0
1,9,5,6,,True,False,0,False,6,30.0
1,9,6,7,,True,False,0,False,7,30.0
1,9,7,8,1.0,True,True,0,False,8,30.0
1,9,8,9,,True,False,0,False,9,30.0
1,9,9,10,,True,False,0,False,10,30.0
1,9,10,11,2.0,True,True,0,False,11,30.0
1,9,11,12,,True,False,0,False,12,30.0
1,9,12,13,5.0,True,True,0,False,13,30.0
1,9,13,14,,True,False,0,False,14,30.0
1,9,14,15,,True,False,0,False,15,30.0
1,9,15,16,,True,False,0,False,16,30.0
1,9,16,17,,True,False,0,False,17,30.0
1,9,17,18,,True,False,0,False,18,30.0
1,9,18,19,,True,False,0,False,19,30.0
1,9,19,20,4.0,True,True,0,False,20,30.0
1,9,20,21,,True,False,0,False,21,30.0
1,9,21,22,,True,False,0,False,22,30.0
1,9,22,23,,True,False,0,False,23,30.0
1,9,23,24,,True,False,0,False,24,30.0
1,9,24,25,,True,False,0,False,25,30.0
1,9,25,26,3.0,True,True,0,False,26,30.0
1,9,26,27,,True,False,0,False,27,30.0
1,9,27,28,,True,False,0,False,28,30.0
1,9,28,29,,True,False,0,False,29,30.0
1,9,29,30,,True,False,0,False,30,30.0
1,10,0,1,,True,False,0,False,1,30.0
1,10,1,2,,True,False,0,False,2,30.0
1,10,2,3,,True,False,0,False,3,30.0
1,10,3,4,,True,False,0,False,4,30.0
1,10,4,5,,True,False,0,False,5,30.0
1,10,5,6,,True,False,0,False,6,30.0
1,10,6,7,,True,False,0,False,7,30.0
1,10,7,8,,True,False,0,False,8,30.0
1,10,8,9,,True,False,0,False,9,30.0
1,10,9,10,,True,False,0,False,10,30.0
1,10,10,11,,True,False,0,False,11,30.0
1,10,11,12,,True,False,0,False,12,30.0
1,10,12,13,,True,False,0,False,13,30.0
1,10,13,14,,True,False,0,False,14,30.0
1,10,14,15,,True,False,0,False,15,30.0
1,10,15,16,,True,False,0,False,16,30.0
1,10,16,17,,True,False,0,False,17,30.0
1,10,17,18,,True,False,0,False,18,30.0
1,10,18,19,,True,False,0,False,19,30.0
1,10,19,20,,True,False,0,False,20,30.0
1,10,20,21,,True,False,0,False,21,30.0
1,10,21,22,,True,False,0,False,22,30.0
1,10,22,23,,True,False,0,False,23,30.0
1,10,23,24,,True,False,0,False,24,30.0
1,10,24,25,,True,False,0,False,25,30.0
1,10,25,26,2.0,True,True,0,False,26,30.0
1,10,26,27,,True,False,0,False,27,30.0
1,10,27,28,3.0,True,True,0,False,28,30.0
1,10,28,29,1.0,True,True,0,False,29,30.0
1,10,29,30,,True,False,0,False,30,30.0
1,11,0,1,9.0,True,True,0,False,1,30.0
1,11,1,2,,True,False,0,False,2,30.0
1,11,2,3,8.0,True,True,0,False,3,30.0
1,11,3,4,,True,False,0,False,4,30.0
1,11,4,5,,True,False,0,False,5,30.0
1,11,5,6,,True,False,0,False,6,30.0
1,11,6,7,,True,False,0,False,7,30.0
1,11,7,8,,True,False,0,False,8,30.0
1,11,8,9,,True,False,0,False,9,30.0
1,11,9,10,,True,False,0,False,10,30.0
1,11,10,11,,True,False,0,False,11,30.0
1,11,11,12,,True,False,0,False,12,30.0
1,11,12,13,,True,False,0,False,13,30.0
1,11,13,14,,True,False,0,False,14,30.0
1,11,14,15,,True,False,0,False,15,30.0
1,11,15,16,,True,False,0,False,16,30.0
1,11,16,17,7.0,True,True,0,False,17,30.0
1,11,17,18,,True,False,0,False,18,30.0
1,11,18,19,,True,False,0,False,19,30.0
1,11,19,20,10.0,True,True,0,False,20,30.0
1,11,20,21,5.0,True,True,0,False,21,30.0
1,11,21,22,4.0,True,True,0,False,22,30.0
1,11,22,23,6.0,True,True,0,False,23,30.0
1,11,23,24,,True,False,0,False,24,30.0
1,11,24,25,,True,False,0,False,25,30.0
1,11,25,26,,True,False,0,False,26,30.0
1,11,26,27,,True,False,0,False,27,30.0
1,11,27,28,2.0,True,True,0,False,28,30.0
1,11,28,29,3.0,True,True,0,False,29,30.0
1,11,29,30,1.0,True,True,0,False,30,30.0
1,12,0,1,1.0,True,True,0,False,1,30.0
1,12,1,2,,True,False,0,False,2,30.0
1,12,2,3,,True,False,0,False,3,30.0
1,12,3,4,,True,False,0,False,4,30.0
1,12,4,5,,True,False,0,False,5,30.0
1,12,5,6,,True,False,0,False,6,30.0
1,12,6,7,10.0,True,True,0,False,7,30.0
1,12,7,8,,True,False,0,False,8,30.0
1,12,8,9,8.0,True,True,0,False,9,30.0
1,12,9,10,7.0,True,True,0,False,10,30.0
1,12,10,11,,True,False,0,False,11,30.0
1,12,11,12,9.0,True,True,0,False,12,30.0
1,12,12,13,,True,False,0,False,13,30.0
1,12,13,14,11.0,True,True,0,False,14,30.0
1,12,14,15,,True,False,0,False,15,30.0
1,12,15,16,,True,False,0,False,16,30.0
1,12,16,17,,True,False,0,False,17,30.0
1,12,17,18,,True,False,0,False,18,30.0
1,12,18,19,,True,False,0,False,19,30.0
1,12,19,20,,True,False,0,False,20,30.0
1,12,20,21,,True,False,0,False,21,30.0
1,12,21,22,,True,False,0,False,22,30.0
1,12,22,23,,True,False,0,False,23,30.0
1,12,23,24,,True,False,0,False,24,30.0
1,12,24,25,,True,False,0,False,25,30.0
1,12,25,26,5.0,True,True,0,False,26,30.0
1,12,26,27,6.0,True,True,0,False,27,30.0
1,12,27,28,4.0,True,True,0,False,28,30.0
1,12,28,29,3.0,True,True,0,False,29,30.0
1,12,29,30,2.0,True,True,0,False,30,30.0
1,13,0,1,3.0,True,True,0,False,1,30.0
1,13,1,2,,True,False,0,False,2,30.0
1,13,2,3,,True,False,0,False,3,30.0
1,13,3,4,,True,False,0,False,4,30.0
1,13,4,5,,True,False,0,False,5,30.0
1,13,5,6,,True,False,0,False,6,30.0
1,13,6,7,,True,False,0,False,7,30.0
1,13,7,8,,True,False,0,False,8,30.0
1,13,8,9,,True,False,0,False,9,30.0
1,13,9,10,,True,False,0,False,10,30.0
1,13,10,11,,True,False,0,False,11,30.0
1,13,11,12,,True,False,0,False,12,30.0
1,13,12,13,,True,False,0,False,13,30.0
1,13,13,14,,True,False,0,False,14,30.0
1,13,14,15,,True,False,0,False,15,30.0
1,13,15,16,6.0,True,True,0,False,16,30.0
1,13,16,17,,True,False,0,False,17,30.0
1,13,17,18,4.0,True,True,0,False,18,30.0
1,13,18,19,5.0,True,True,0,False,19,30.0
1,13,19,20,7.0,True,True,0,False,20,30.0
1,13,20,21,,True,False,0,False,21,30.0
1,13,21,22,,True,False,0,False,22,30.0
1,13,22,23,,True,False,0,False,23,30.0
1,13,23,24,2.0,True,True,0,False,24,30.0
1,13,24,25,,True,False,0,False,25,30.0
1,13,25,26,,True,False,0,False,26,30.0
1,13,26,27,,True,False,0,False,27,30.0
1,13,27,28,,True,False,0,False,28,30.0
1,13,28,29,1.0,True,True,0,False,29,30.0
1,13,29,30,,True,False,0,False,30,30.0
1,14,0,1,,True,False,0,False,1,30.0
1,14,1,2,,True,False,0,False,2,30.0
1,14,2,3,,True,False,0,False,3,30.0
1,14,3,4,,True,False,0,False,4,30.0
1,14,4,5,,True,False,0,False,5,30.0
1,14,5,6,,True,False,0,False,6,30.0
1,14,6,7,,True,False,0,False,7,30.0
1,14,7,8,,True,False,0,False,8,30.0
1,14,8,9,,True,False,0,False,9,30.0
1,14,9,10,,True,False,0,False,10,30.0
1,14,10,11,,True,False,0,False,11,30.0
1,14,11,12,,True,False,0,False,12,30.0
1,14,12,13,,True,False,0,False,13,30.0
1,14,13,14,,True,False,0,False,14,30.0
1,14,14,15,,True,False,0,False,15,30.0
1,14,15,16,,True,False,0,False,16,30.0
1,14,16,17,,True,False,0,False,17,30.0
1,14,17,18,,True,False,0,False,18,30.0
1,14,18,19,,True,False,0,False,19,30.0
1,14,19,20,,True,False,0,False,20,30.0
1,14,20,21,,True,False,0,False,21,30.0
1,14,21,22,,True,False,0,False,22,30.0
1,14,22,23,,True,False,0,False,23,30.0
1,14,23,24,,True,False,0,False,24,30.0
1,14,24,25,,True,False,0,False,25,30.0
1,14,25,26,,True,False,0,False,26,30.0
1,14,26,27,,True,False,0,False,27,30.0
1,14,27,28,,True,False,0,False,28,30.0
1,14,28,29,1.0,True,True,0,False,29,30.0
1,14,29,30,,True,False,0,False,30,30.0
1,15,0,1,,True,False,0,False,1,30.0
1,15,1,2,,True,False,0,False,2,30.0
1,15,2,3,,True,False,0,False,3,30.0
1,15,3,4,,True,False,0,False,4,30.0
1,15,4,5,,True,False,0,False,5,30.0
1,15,5,6,,True,False,0,False,6,30.0
1,15,6,7,,True,False,0,False,7,30.0
1,15,7,8,9.0,True,True,0,False,8,30.0
1,15,8,9,,True,False,0,False,9,30.0
1,15,9,10,4.0,True,True,0,False,10,30.0
1,15,10,11,6.0,True,True,0,False,11,30.0
1,15,11,12,,True,False,0,False,12,30.0
1,15,12,13,,True,False,0,False,13,30.0
1,15,13,14,,True,False,0,False,14,30.0
1,15,14,15,8.0,True,True,0,False,15,30.0
1,15,15,16,10.0,True,True,0,False,16,30.0
1,15,16,17,11.0,True,True,0,False,17,30.0
1,15,17,18,,True,False,0,False,18,30.0
1,15,18,19,,True,False,0,False,19,30.0
1,15,19,20,,True,False,0,False,20,30.0
1,15,20,21,,True,False,0,False,21,30.0
1,15,21,22,,True,False,0,False,22,30.0
1,15,22,23,,True,False,0,False,23,30.0
1,15,23,24,5.0,True,True,0,False,24,30.0
1,15,24,25,,True,False,0,False,25,30.0
1,15,25,26,7.0,True,True,0,False,26,30.0
1,15,26,27,,True,False,0,False,27,30.0
1,15,27,28,2.0,True,True,0,False,28,30.0
1,15,28,29,1.0,True,True,0,False,29,30.0
1,15,29,30,3.0,True,True,0,False,30,30.0
1,16,0,1,1.0,True,True,0,False,1,30.0
1,16,1,2,4.0,True,True,0,False,2,30.0
1,16,2,3,8.0,True,True,0,False,3,30.0
1,16,3,4,,True,False,0,False,4,30.0
1,16,4,5,,True,False,0,False,5,30.0
1,16,5,6,7.0,True,True,0,False,6,30.0
1,16,6,7,5.0,True,True,0,False,7,30.0
1,16,7,8,6.0,True,True,0,False,8,30.0
1,16,8,9,,True,False,0,False,9,30.0
1,16,9,10,,True,False,0,False,10,30.0
1,16,10,11,9.0,True,True,0,False,11,30.0
1,16,11,12,,True,False,0,False,12,30.0
1,16,12,13,,True,False,0,False,13,30.0
1,16,13,14,,True,False,0,False,14,30.0
1,16,14,15,,True,False,0,False,15,30.0
1,16,15,16,,True,False,0,False,16,30.0
1,16,16,17,,True,False,0,False,17,30.0
1,16,17,18,,True,False,0,False,18,30.0
1,16,18,19,,True,False,0,False,19,30.0
1,16,19,20,,True,False,0,False,20,30.0
1,16,20,21,,True,False,0,False,21,30.0
1,16,21,22,,True,False,0,False,22,30.0
1,16,22,23,,True,False,0,False,23,30.0
1,16,23,24,,True,False,0,False,24,30.0
1,16,24,25,,True,False,0,False,25,30.0
1,16,25,26,,True,False,0,False,26,30.0
1,16,26,27,,True,False,0,False,27,30.0
1,16,27,28,,True,False,0,False,28,30.0
1,16,28,29,2.0,True,True,0,False,29,30.0
1,16,29,30,3.0,True,True,0,False,30,30.0
1,17,0,1,,True,False,0,False,1,30.0
1,17,1,2,,True,False,0,False,2,30.0
1,17,2,3,,True,False,0,False,3,30.0
1,17,3,4,,True,False,0,False,4,30.0
1,17,4,5,7.0,True,True,0,False,5,30.0
1,17,5,6,,True,False,0,False,6,30.0
1,17,6,7,,True,False,0,False,7,30.0
1,17,7,8,,True,False,0,False,8,30.0
1,17,8,9,,True,False,0,False,9,30.0
1,17,9,10,,True,False,0,False,10,30.0
1,17,10,11,,True,False,0,False,11,30.0
1,17,11,12,,True,False,0,False,12,30.0
1,17,12,13,,True,False,0,False,13,30.0
1,17,13,14,,True,False,0,False,14,30.0
1,17,14,15,,True,False,0,False,15,30.0
1,17,15,16,,True,False,0,False,16,30.0
1,17,16,17,,True,False,0,False,17,30.0
1,17,17,18,,True,False,0,False,18,30.0
1,17,18,19,,True,False,0,False,19,30.0
1,17,19,20,,True,False,0,False,20,30.0
1,17,20,21,6.0,True,True,0,False,21,30.0
1,17,21,22,,True,False,0,False,22,30.0
1,17,22,23,3.0,True,True,0,False,23,30.0
1,17,23,24,,True,False,0,False,24,30.0
1,17,24,25,,True,False,0,False,25,30.0
1,17,25,26,,True,False,0,False,26,30.0
1,17,26,27,5.0,True,True,0,False,27,30.0
1,17,27,28,4.0,True,True,0,False,28,30.0
1,17,28,29,2.0,True,True,0,False,29,30.0
1,17,29,30,1.0,True,True,0,False,30,30.0
1,18,0,1,2.0,True,True,0,False,1,30.0
1,18,1,2,,True,False,0,False,2,30.0
1,18,2,3,,True,False,0,False,3,30.0
1,18,3,4,,True,False,0,False,4,30.0
1,18,4,5,,True,False,0,False,5,30.0
1,18,5,6,5.0,True,True,0,False,6,30.0
1,18,6,7,,True,False,0,False,7,30.0
1,18,7,8,,True,False,0,False,8,30.0
1,18,8,9,,True,False,0,False,9,30.0
1,18,9,10,6.0,True,True,0,False,10,30.0
1,18,10,11,,True,False,0,False,11,30.0
1,18,11,12,,True,False,0,False,12,30.0
1,18,12,13,,True,False,0,False,13,30.0
1,18,13,14,,True,False,0,False,14,30.0
1,18,14,15,,True,False,0,False,15,30.0
1,18,15,16,,True,False,0,False,16,30.0
1,18,16,17,,True,False,0,False,17,30.0
1,18,17,18,,True,False,0,False,18,30.0
1,18,18,19,,True,False,0,False,19,30.0
1,18,19,20,,True,False,0,False,20,30.0
1,18,20,21,,True,False,0,False,21,30.0
1,18,21,22,,True,False,0,False,22,30.0
1,18,22,23,,True,False,0,False,23,30.0
1,18,23,24,,True,False,0,False,24,30.0
1,18,24,25,,True,False,0,False,25,30.0
1,18,25,26,,True,False,0,False,26,30.0
1,18,26,27,,True,False,0,False,27,30.0
1,18,27,28,4.0,True,True,0,False,28,30.0
1,18,28,29,1.0,True,True,0,False,29,30.0
1,18,29,30,3.0,True,True,0,False,30,30.0
1,19,0,1,,True,False,0,False,1,30.0
1,19,1,2,,True,False,0,False,2,30.0
1,19,2,3,,True,False,0,False,3,30.0
1,19,3,4,,True,False,0,False,4,30.0
1,19,4,5,,True,False,0,False,5,30.0
1,19,5,6,,True,False,0,False,6,30.0
1,19,6,7,,True,False,0,False,7,30.0
1,19,7,8,9.0,True,True,0,False,8,30.0
1,19,8,9,,True,False,0,False,9,30.0
1,19,9,10,,True,False,0,False,10,30.0
1,19,10,11,,True,False,0,False,11,30.0
1,19,11,12,,True,False,0,False,12,30.0
1,19,12,13,,True,False,0,False,13,30.0
1,19,13,14,,True,False,0,False,14,30.0
1,19,14,15,,True,False,0,False,15,30.0
1,19,15,16,,True,False,0,False,16,30.0
