subject,list,item,input,output,study,recall,repeat,intrusion,first_input,practice_index
63,4,10,11,,True,False,0,False,11,1
63,4,11,12,,True,False,0,False,12,1
63,4,12,13,,True,False,0,False,13,1
63,4,13,14,8.0,True,True,0,False,14,1
63,4,14,15,,True,False,0,False,15,1
63,4,15,16,,True,False,0,False,16,1
63,4,2,17,,True,False,0,False,17,1
63,4,0,18,,True,False,0,False,18,1
63,4,14,19,,True,False,0,False,19,1
63,4,4,20,,True,False,0,False,20,1
63,4,10,21,,True,False,0,False,21,1
63,4,13,22,,True,False,0,False,22,1
63,4,3,23,,True,False,0,False,23,1
63,4,15,24,,True,False,0,False,24,1
63,4,5,25,,True,False,0,False,25,1
63,4,9,26,,True,False,0,False,26,1
63,4,11,27,,True,False,0,False,27,1
63,4,7,28,,True,False,0,False,28,1
63,4,1,29,,True,False,0,False,29,1
63,4,12,30,,True,False,0,False,30,1
63,4,6,31,,True,False,0,False,31,1
63,4,8,32,,True,False,0,False,32,1
63,5,0,1,2.0,True,True,0,False,1,1
63,5,1,2,3.0,True,True,0,False,2,1
63,5,2,3,,True,False,0,False,3,1
63,5,3,4,,True,False,0,False,4,1
63,5,4,5,4.0,True,True,0,False,5,1
63,5,5,6,6.0,True,True,0,False,6,1
63,5,6,7,9.0,True,True,0,False,7,1
63,5,7,8,,True,False,0,False,8,1
63,5,8,9,12.0,True,True,0,False,9,1
63,5,9,10,11.0,True,True,0,False,10,1
63,5,10,11,8.0,True,True,0,False,11,1
63,5,11,12,7.0,True,True,0,False,12,1
63,5,12,13,10.0,True,True,0,False,13,1
63,5,13,14,5.0,True,True,0,False,14,1
63,5,14,15,1.0,True,True,0,False,15,1
63,5,15,16,,True,False,0,False,16,1
63,5,2,17,,True,False,0,False,17,1
63,5,0,18,,True,False,0,False,18,1
63,5,14,19,,True,False,0,False,19,1
63,5,4,20,,True,False,0,False,20,1
63,5,10,21,,True,False,0,False,21,1
63,5,13,22,,True,False,0,False,22,1
63,5,3,23,,True,False,0,False,23,1
63,5,15,24,,True,False,0,False,24,1
63,5,5,25,,True,False,0,False,25,1
63,5,9,26,,True,False,0,False,26,1
63,5,11,27,,True,False,0,False,27,1
63,5,7,28,,True,False,0,False,28,1
63,5,1,29,,True,False,0,False,29,1
63,5,12,30,,True,False,0,False,30,1
63,5,6,31,,True,False,0,False,31,1
63,5,8,32,,True,False,0,False,32,1
63,6,0,1,,True,False,0,False,1,1
63,6,1,2,,True,False,0,False,2,1
63,6,2,3,,True,False,0,False,3,1
63,6,3,4,,True,False,0,False,4,1
63,6,4,5,,True,False,0,False,5,1
63,6,5,6,2.0,True,True,0,False,6,1
63,6,6,7,,True,False,0,False,7,1
63,6,7,8,,True,False,0,False,8,1
63,6,8,9,,True,False,0,False,9,1
63,6,9,10,,True,False,0,False,10,1
63,6,10,11,,True,False,0,False,11,1
63,6,11,12,,True,False,0,False,12,1
63,6,12,13,,True,False,0,False,13,1
63,6,13,14,,True,False,0,False,14,1
63,6,14,15,,True,False,0,False,15,1
63,6,15,16,1.0,True,True,0,False,16,1
63,6,2,17,,True,False,0,False,17,1
63,6,0,18,,True,False,0,False,18,1
63,6,14,19,,True,False,0,False,19,1
63,6,4,20,,True,False,0,False,20,1
63,6,10,21,,True,False,0,False,21,1
63,6,13,22,,True,False,0,False,22,1
63,6,3,23,,True,False,0,False,23,1
63,6,15,24,,True,False,0,False,24,1
63,6,5,25,,True,False,0,False,25,1
63,6,9,26,,True,False,0,False,26,1
63,6,11,27,,True,False,0,False,27,1
63,6,7,28,,True,False,0,False,28,1
63,6,1,29,,True,False,0,False,29,1
63,6,12,30,,True,False,0,False,30,1
63,6,6,31,,True,False,0,False,31,1
63,6,8,32,,True,False,0,False,32,1
63,7,0,1,12.0,True,True,0,False,1,1
63,7,1,2,3.0,True,True,0,False,2,1
63,7,2,3,,True,False,0,False,3,1
63,7,3,4,1.0,True,True,0,False,4,1
63,7,4,5,6.0,True,True,0,False,5,1
63,7,5,6,,True,False,0,False,6,1
63,7,6,7,10.0,True,True,0,False,7,1
63,7,7,8,,True,False,0,False,8,1
63,7,8,9,2.0,True,True,0,False,9,1
63,7,9,10,4.0,True,True,0,False,10,1
63,7,10,11,11.0,True,True,0,False,11,1
63,7,11,12,5.0,True,True,0,False,12,1
63,7,12,13,7.0,True,True,0,False,13,1
63,7,13,14,8.0,True,True,0,False,14,1
63,7,14,15,9.0,True,True,0,False,15,1
63,7,15,16,,True,False,0,False,16,1
63,7,2,17,,True,False,0,False,17,1
63,7,0,18,,True,False,0,False,18,1
63,7,14,19,,True,False,0,False,19,1
63,7,4,20,,True,False,0,False,20,1
63,7,10,21,,True,False,0,False,21,1
63,7,13,22,,True,False,0,False,22,1
63,7,3,23,,True,False,0,False,23,1
63,7,15,24,,True,False,0,False,24,1
63,7,5,25,,True,False,0,False,25,1
63,7,9,26,,True,False,0,False,26,1
63,7,11,27,,True,False,0,False,27,1
63,7,7,28,,True,False,0,False,28,1
63,7,1,29,,True,False,0,False,29,1
63,7,12,30,,True,False,0,False,30,1
63,7,6,31,,True,False,0,False,31,1
63,7,8,32,,True,False,0,False,32,1
63,8,0,1,1.0,True,True,0,False,1,1
63,8,1,2,3.0,True,True,0,False,2,1
63,8,2,3,4.0,True,True,0,False,3,1
63,8,3,4,5.0,True,True,0,False,4,1
63,8,4,5,8.0,True,True,0,False,5,1
63,8,5,6,9.0,True,True,0,False,6,1
63,8,6,7,,True,False,0,False,7,1
63,8,7,8,6.0,True,True,0,False,8,1
63,8,8,9,,True,False,0,False,9,1
63,8,9,10,,True,False,0,False,10,1
63,8,10,11,10.0,True,True,0,False,11,1
63,8,11,12,,True,False,0,False,12,1
63,8,12,13,,True,False,0,False,13,1
63,8,13,14,,True,False,0,False,14,1
63,8,14,15,7.0,True,True,0,False,15,1
63,8,15,16,2.0,True,True,0,False,16,1
63,8,2,17,,True,False,0,False,17,1
63,8,0,18,,True,False,0,False,18,1
63,8,14,19,,True,False,0,False,19,1
63,8,4,20,,True,False,0,False,20,1
63,8,10,21,,True,False,0,False,21,1
63,8,13,22,,True,False,0,False,22,1
63,8,3,23,,True,False,0,False,23,1
63,8,15,24,,True,False,0,False,24,1
63,8,5,25,,True,False,0,False,25,1
63,8,9,26,,True,False,0,False,26,1
63,8,11,27,,True,False,0,False,27,1
63,8,7,28,,True,False,0,False,28,1
63,8,1,29,,True,False,0,False,29,1
63,8,12,30,,True,False,0,False,30,1
63,8,6,31,,True,False,0,False,31,1
63,8,8,32,,True,False,0,False,32,1
63,9,0,1,10.0,True,True,0,False,1,1
63,9,1,2,,True,False,0,False,2,1
63,9,2,3,5.0,True,True,0,False,3,1
63,9,3,4,11.0,True,True,0,False,4,1
63,9,4,5,2.0,True,True,0,False,5,1
63,9,5,6,1.0,True,True,0,False,6,1
63,9,6,7,8.0,True,True,0,False,7,1
63,9,7,8,6.0,True,True,0,False,8,1
63,9,8,9,4.0,True,True,0,False,9,1
63,9,9,10,3.0,True,True,0,False,10,1
63,9,10,11,,True,False,0,False,11,1
63,9,11,12,9.0,True,True,0,False,12,1
63,9,12,13,,True,False,0,False,13,1
63,9,13,14,,True,False,0,False,14,1
63,9,14,15,,True,False,0,False,15,1
63,9,15,16,7.0,True,True,0,False,16,1
63,9,2,17,,True,False,0,False,17,1
63,9,0,18,,True,False,0,False,18,1
63,9,14,19,,True,False,0,False,19,1
63,9,4,20,,True,False,0,False,20,1
63,9,10,21,,True,False,0,False,21,1
63,9,13,22,,True,False,0,False,22,1
63,9,3,23,,True,False,0,False,23,1
63,9,15,24,,True,False,0,False,24,1
63,9,5,25,,True,False,0,False,25,1
63,9,9,26,,True,False,0,False,26,1
63,9,11,27,,True,False,0,False,27,1
63,9,7,28,,True,False,0,False,28,1
63,9,1,29,,True,False,0,False,29,1
63,9,12,30,,True,False,0,False,30,1
63,9,6,31,,True,False,0,False,31,1
63,9,8,32,,True,False,0,False,32,1
64,0,0,1,9.0,True,True,0,False,1,1
64,0,1,2,8.0,True,True,0,False,2,1
64,0,2,3,13.0,True,True,0,False,3,1
64,0,3,4,14.0,True,True,0,False,4,1
64,0,4,5,7.0,True,True,0,False,5,1
64,0,5,6,6.0,True,True,0,False,6,1
64,0,6,7,1.0,True,True,0,False,7,1
64,0,7,8,,True,False,0,False,8,1
64,0,8,9,5.0,True,True,0,False,9,1
64,0,9,10,15.0,True,True,0,False,10,1
64,0,10,11,2.0,True,True,0,False,11,1
64,0,11,12,3.0,True,True,0,False,12,1
64,0,12,13,4.0,True,True,0,False,13,1
64,0,13,14,12.0,True,True,0,False,14,1
64,0,14,15,10.0,True,True,0,False,15,1
64,0,15,16,11.0,True,True,0,False,16,1
64,0,1,17,,True,False,0,False,17,1
64,0,8,18,,True,False,0,False,18,1
64,0,14,19,,True,False,0,False,19,1
64,0,12,20,,True,False,0,False,20,1
64,0,9,21,,True,False,0,False,21,1
64,0,3,22,,True,False,0,False,22,1
64,0,15,23,,True,False,0,False,23,1
64,0,2,24,,True,False,0,False,24,1
64,0,11,25,,True,False,0,False,25,1
64,0,10,26,,True,False,0,False,26,1
64,0,6,27,,True,False,0,False,27,1
64,0,5,28,,True,False,0,False,28,1
64,0,13,29,,True,False,0,False,29,1
64,0,0,30,,True,False,0,False,30,1
64,0,4,31,,True,False,0,False,31,1
64,0,7,32,,True,False,0,False,32,1
64,1,0,1,7.0,True,True,0,False,1,1
64,1,1,2,6.0,True,True,0,False,2,1
64,1,2,3,9.0,True,True,0,False,3,1
64,1,3,4,10.0,True,True,0,False,4,1
64,1,4,5,8.0,True,True,0,False,5,1
64,1,5,6,13.0,True,True,0,False,6,1
64,1,6,7,12.0,True,True,0,False,7,1
64,1,7,8,,True,False,0,False,8,1
64,1,8,9,,True,False,0,False,9,1
64,1,9,10,,True,False,0,False,10,1
64,1,10,11,11.0,True,True,0,False,11,1
64,1,11,12,3.0,True,True,0,False,12,1
64,1,12,13,1.0,True,True,0,False,13,1
64,1,13,14,2.0,True,True,0,False,14,1
64,1,14,15,4.0,True,True,0,False,15,1
64,1,15,16,5.0,True,True,0,False,16,1
64,1,1,17,,True,False,0,False,17,1
64,1,8,18,,True,False,0,False,18,1
64,1,14,19,,True,False,0,False,19,1
64,1,12,20,,True,False,0,False,20,1
64,1,9,21,,True,False,0,False,21,1
64,1,3,22,,True,False,0,False,22,1
64,1,15,23,,True,False,0,False,23,1
64,1,2,24,,True,False,0,False,24,1
64,1,11,25,,True,False,0,False,25,1
64,1,10,26,,True,False,0,False,26,1
64,1,6,27,,True,False,0,False,27,1
64,1,5,28,,True,False,0,False,28,1
64,1,13,29,,True,False,0,False,29,1
64,1,0,30,,True,False,0,False,30,1
64,1,4,31,,True,False,0,False,31,1
64,1,7,32,,True,False,0,False,32,1
64,2,0,1,7.0,True,True,0,False,1,1
64,2,1,2,16.0,True,True,0,False,2,1
64,2,2,3,6.0,True,True,0,False,3,1
64,2,3,4,14.0,True,True,0,False,4,1
64,2,4,5,8.0,True,True,0,False,5,1
64,2,5,6,1.0,True,True,0,False,6,1
64,2,6,7,2.0,True,True,0,False,7,1
64,2,7,8,3.0,True,True,0,False,8,1
64,2,8,9,4.0,True,True,0,False,9,1
64,2,9,10,13.0,True,True,0,False,10,1
64,2,10,11,10.0,True,True,0,False,11,1
64,2,11,12,11.0,True,True,0,False,12,1
64,2,12,13,12.0,True,True,0,False,13,1
64,2,13,14,15.0,True,True,0,False,14,1
64,2,14,15,5.0,True,True,0,False,15,1
64,2,15,16,9.0,True,True,0,False,16,1
64,2,1,17,,True,False,0,False,17,1
64,2,8,18,,True,False,0,False,18,1
64,2,14,19,,True,False,0,False,19,1
64,2,12,20,,True,False,0,False,20,1
64,2,9,21,,True,False,0,False,21,1
64,2,3,22,,True,False,0,False,22,1
64,2,15,23,,True,False,0,False,23,1
64,2,2,24,,True,False,0,False,24,1
64,2,11,25,,True,False,0,False,25,1
64,2,10,26,,True,False,0,False,26,1
64,2,6,27,,True,False,0,False,27,1
64,2,5,28,,True,False,0,False,28,1
64,2,13,29,,True,False,0,False,29,1
64,2,0,30,,True,False,0,False,30,1
64,2,4,31,,True,False,0,False,31,1
64,2,7,32,,True,False,0,False,32,1
64,3,0,1,1.0,True,True,0,False,1,1
64,3,1,2,,True,False,0,False,2,1
64,3,2,3,,True,False,0,False,3,1
64,3,3,4,,True,False,0,False,4,1
64,3,4,5,,True,False,0,False,5,1
64,3,5,6,,True,False,0,False,6,1
64,3,6,7,,True,False,0,False,7,1
64,3,7,8,,True,False,0,False,8,1
64,3,8,9,3.0,True,True,0,False,9,1
64,3,9,10,,True,False,0,False,10,1
64,3,10,11,,True,False,0,False,11,1
64,3,11,12,,True,False,0,False,12,1
64,3,12,13,,True,False,0,False,13,1
64,3,13,14,2.0,True,True,0,False,14,1
64,3,14,15,,True,False,0,False,15,1
64,3,15,16,,True,False,0,False,16,1
64,3,1,17,,True,False,0,False,17,1
64,3,8,18,,True,False,0,False,18,1
64,3,14,19,,True,False,0,False,19,1
64,3,12,20,,True,False,0,False,20,1
64,3,9,21,,True,False,0,False,21,1
64,3,3,22,,True,False,0,False,22,1
64,3,15,23,,True,False,0,False,23,1
64,3,2,24,,True,False,0,False,24,1
64,3,11,25,,True,False,0,False,25,1
64,3,10,26,,True,False,0,False,26,1
64,3,6,27,,True,False,0,False,27,1
64,3,5,28,,True,False,0,False,28,1
64,3,13,29,,True,False,0,False,29,1
64,3,0,30,,True,False,0,False,30,1
64,3,4,31,,True,False,0,False,31,1
64,3,7,32,,True,False,0,False,32,1
64,4,0,1,3.0,True,True,0,False,1,1
64,4,1,2,15.0,True,True,0,False,2,1
64,4,2,3,2.0,True,True,0,False,3,1
64,4,3,4,11.0,True,True,0,False,4,1
64,4,4,5,12.0,True,True,0,False,5,1
64,4,5,6,13.0,True,True,0,False,6,1
64,4,6,7,1.0,True,True,0,False,7,1
64,4,7,8,4.0,True,True,0,False,8,1
64,4,8,9,5.0,True,True,0,False,9,1
64,4,9,10,16.0,True,True,0,False,10,1
64,4,10,11,14.0,True,True,0,False,11,1
64,4,11,12,7.0,True,True,0,False,12,1
64,4,12,13,10.0,True,True,0,False,13,1
64,4,13,14,8.0,True,True,0,False,14,1
64,4,14,15,6.0,True,True,0,False,15,1
64,4,15,16,9.0,True,True,0,False,16,1
64,4,1,17,,True,False,0,False,17,1
64,4,8,18,,True,False,0,False,18,1
64,4,14,19,,True,False,0,False,19,1
64,4,12,20,,True,False,0,False,20,1
64,4,9,21,,True,False,0,False,21,1
64,4,3,22,,True,False,0,False,22,1
64,4,15,23,,True,False,0,False,23,1
64,4,2,24,,True,False,0,False,24,1
64,4,11,25,,True,False,0,False,25,1
64,4,10,26,,True,False,0,False,26,1
64,4,6,27,,True,False,0,False,27,1
64,4,5,28,,True,False,0,False,28,1
64,4,13,29,,True,False,0,False,29,1
64,4,0,30,,True,False,0,False,30,1
64,4,4,31,,True,False,0,False,31,1
64,4,7,32,,True,False,0,False,32,1
64,5,0,1,,True,False,0,False,1,1
64,5,1,2,,True,False,0,False,2,1
64,5,2,3,9.0,True,True,0,False,3,1
64,5,3,4,10.0,True,True,0,False,4,1
64,5,4,5,3.0,True,True,0,False,5,1
64,5,5,6,2.0,True,True,0,False,6,1
64,5,6,7,8.0,True,True,0,False,7,1
64,5,7,8,1.0,True,True,0,False,8,1
64,5,8,9,,True,False,0,False,9,1
64,5,9,10,5.0,True,True,0,False,10,1
64,5,10,11,,True,False,0,False,11,1
64,5,11,12,6.0,True,True,0,False,12,1
64,5,12,13,4.0,True,True,0,False,13,1
64,5,13,14,7.0,True,True,0,False,14,1
64,5,14,15,12.0,True,True,0,False,15,1
64,5,15,16,11.0,True,True,0,False,16,1
64,5,1,17,,True,False,0,False,17,1
64,5,8,18,,True,False,0,False,18,1
64,5,14,19,,True,False,0,False,19,1
64,5,12,20,,True,False,0,False,20,1
64,5,9,21,,True,False,0,False,21,1
64,5,3,22,,True,False,0,False,22,1
64,5,15,23,,True,False,0,False,23,1
64,5,2,24,,True,False,0,False,24,1
64,5,11,25,,True,False,0,False,25,1
64,5,10,26,,True,False,0,False,26,1
64,5,6,27,,True,False,0,False,27,1
64,5,5,28,,True,False,0,False,28,1
64,5,13,29,,True,False,0,False,29,1
64,5,0,30,,True,False,0,False,30,1
64,5,4,31,,True,False,0,False,31,1
64,5,7,32,,True,False,0,False,32,1
64,6,0,1,,True,False,0,False,1,1
64,6,1,2,,True,False,0,False,2,1
64,6,2,3,,True,False,0,False,3,1
64,6,3,4,,True,False,0,False,4,1
64,6,4,5,,True,False,0,False,5,1
64,6,5,6,1.0,True,True,0,False,6,1
64,6,6,7,8.0,True,True,0,False,7,1
64,6,7,8,,True,False,0,False,8,1
64,6,8,9,,True,False,0,False,9,1
64,6,9,10,7.0,True,True,0,False,10,1
64,6,10,11,5.0,True,True,0,False,11,1
64,6,11,12,4.0,True,True,0,False,12,1
64,6,12,13,6.0,True,True,0,False,13,1
64,6,13,14,2.0,True,True,0,False,14,1
64,6,14,15,,True,False,0,False,15,1
64,6,15,16,3.0,True,True,0,False,16,1
64,6,1,17,,True,False,0,False,17,1
64,6,8,18,,True,False,0,False,18,1
64,6,14,19,,True,False,0,False,19,1
64,6,12,20,,True,False,0,False,20,1
64,6,9,21,,True,False,0,False,21,1
64,6,3,22,,True,False,0,False,22,1
64,6,15,23,,True,False,0,False,23,1
64,6,2,24,,True,False,0,False,24,1
64,6,11,25,,True,False,0,False,25,1
64,6,10,26,,True,False,0,False,26,1
64,6,6,27,,True,False,0,False,27,1
64,6,5,28,,True,False,0,False,28,1
64,6,13,29,,True,False,0,False,29,1
64,6,0,30,,True,False,0,False,30,1
64,6,4,31,,True,False,0,False,31,1
64,6,7,32,,True,False,0,False,32,1
64,7,0,1,,True,False,0,False,1,1
64,7,1,2,8.0,True,True,0,False,2,1
64,7,2,3,,True,False,0,False,3,1
64,7,3,4,,True,False,0,False,4,1
64,7,4,5,,True,False,0,False,5,1
64,7,5,6,,True,False,0,False,6,1
64,7,6,7,1.0,True,True,0,False,7,1
64,7,7,8,2.0,True,True,0,False,8,1
64,7,8,9,3.0,True,True,0,False,9,1
64,7,9,10,5.0,True,True,0,False,10,1
64,7,10,11,4.0,True,True,0,False,11,1
64,7,11,12,,True,False,0,False,12,1
64,7,12,13,6.0,True,True,0,False,13,1
64,7,13,14,7.0,True,True,0,False,14,1
64,7,14,15,,True,False,0,False,15,1
64,7,15,16,,True,False,0,False,16,1
64,7,1,17,,True,False,0,False,17,1
64,7,8,18,,True,False,0,False,18,1
64,7,14,19,,True,False,0,False,19,1
64,7,12,20,,True,False,0,False,20,1
64,7,9,21,,True,False,0,False,21,1
64,7,3,22,,True,False,0,False,22,1
64,7,15,23,,True,False,0,False,23,1
64,7,2,24,,True,False,0,False,24,1
64,7,11,25,,True,False,0,False,25,1
64,7,10,26,,True,False,0,False,26,1
64,7,6,27,,True,False,0,False,27,1
64,7,5,28,,True,False,0,False,28,1
64,7,13,29,,True,False,0,False,29,1
64,7,0,30,,True,False,0,False,30,1
64,7,4,31,,True,False,0,False,31,1
64,7,7,32,,True,False,0,False,32,1
64,8,0,1,1.0,True,True,0,False,1,1
64,8,1,2,7.0,True,True,0,False,2,1
64,8,2,3,6.0,True,True,0,False,3,1
64,8,3,4,8.0,True,True,0,False,4,1
64,8,4,5,2.0,True,True,0,False,5,1
64,8,5,6,3.0,True,True,0,False,6,1
64,8,6,7,13.0,True,True,0,False,7,1
64,8,7,8,14.0,True,True,0,False,8,1
64,8,8,9,15.0,True,True,0,False,9,1
64,8,9,10,4.0,True,True,0,False,10,1
64,8,10,11,16.0,True,True,0,False,11,1
64,8,11,12,5.0,True,True,0,False,12,1
64,8,12,13,9.0,True,True,0,False,13,1
64,8,13,14,12.0,True,True,0,False,14,1
64,8,14,15,11.0,True,True,0,False,15,1
64,8,15,16,10.0,True,True,0,False,16,1
64,8,1,17,,True,False,0,False,17,1
64,8,8,18,,True,False,0,False,18,1
64,8,14,19,,True,False,0,False,19,1
64,8,12,20,,True,False,0,False,20,1
64,8,9,21,,True,False,0,False,21,1
64,8,3,22,,True,False,0,False,22,1
64,8,15,23,,True,False,0,False,23,1
64,8,2,24,,True,False,0,False,24,1
64,8,11,25,,True,False,0,False,25,1
64,8,10,26,,True,False,0,False,26,1
64,8,6,27,,True,False,0,False,27,1
64,8,5,28,,True,False,0,False,28,1
64,8,13,29,,True,False,0,False,29,1
64,8,0,30,,True,False,0,False,30,1
64,8,4,31,,True,False,0,False,31,1
64,8,7,32,,True,False,0,False,32,1
64,9,0,1,4.0,True,True,0,False,1,1
64,9,1,2,14.0,True,True,0,False,2,1
64,9,2,3,13.0,True,True,0,False,3,1
64,9,3,4,5.0,True,True,0,False,4,1
64,9,4,5,3.0,True,True,0,False,5,1
64,9,5,6,15.0,True,True,0,False,6,1
64,9,6,7,2.0,True,True,0,False,7,1
64,9,7,8,6.0,True,True,0,False,8,1
64,9,8,9,16.0,True,True,0,False,9,1
64,9,9,10,12.0,True,True,0,False,10,1
64,9,10,11,1.0,True,True,0,False,11,1
64,9,11,12,11.0,True,True,0,False,12,1
64,9,12,13,8.0,True,True,0,False,13,1
64,9,13,14,7.0,True,True,0,False,14,1
64,9,14,15,10.0,True,True,0,False,15,1
64,9,15,16,9.0,True,True,0,False,16,1
64,9,1,17,,True,False,0,False,17,1
64,9,8,18,,True,False,0,False,18,1
64,9,14,19,,True,False,0,False,19,1
64,9,12,20,,True,False,0,False,20,1
64,9,9,21,,True,False,0,False,21,1
64,9,3,22,,True,False,0,False,22,1
